Lupsa,Alba 
Bardesti,Alba 
Barzan,Alba 
Curmatura,Alba 
Dupa Deal,Alba 
Geamana,Alba 
Hadarau,Alba 
Holobani,Alba 
Lazuri,Alba 
Lunca,Alba 
Manastire,Alba 
Margaia,Alba 
Musca,Alba 
Pitiga,Alba 
Parau-Carbunari,Alba 
Posogani,Alba 
Sasa,Alba 
Trifesti,Alba 
Valea Holhorii,Alba 
Valea Lupsii,Alba 
Valea Sesii,Alba 
Vai,Alba 
Vinta,Alba 
Metes,Alba 
Ampoita,Alba 
Isca,Alba 
Lunca Ampoitei,Alba 
Lunca Metesului,Alba 
Padurea,Alba 
Poiana Ampoiului,Alba 
Poiana Ursului,Alba 
Presaca Ampoiului,Alba 
Remetea,Alba 
Tauti,Alba 
Valeni,Alba 
Mihalt,Alba 
Cistei,Alba 
Obreja,Alba 
Zaries,Alba 
Miraslau,Alba 
Cicau,Alba 
Decea,Alba 
Lopadea Veche,Alba 
Ormenis,Alba 
Rachis,Alba 
Mogos,Alba 
Barbesti,Alba 
Barlesti,Alba 
Barlesti-Catun,Alba 
Barzogani,Alba 
Bocesti,Alba 
Bogdanesti,Alba 
Butesti,Alba 
Cojocani,Alba 
Cristesti,Alba 
Mamaligani,Alba 
Negresti,Alba 
Oncesti,Alba 
Poienile-Mogos,Alba 
Tomesti,Alba 
Valea Barlutesti,Alba 
Valea Barnii,Alba 
Valea Cocesti,Alba 
Valea Giogesti,Alba 
Valea Mlacii,Alba 
Valea Tupilor,Alba 
Noslac,Alba 
Captalan,Alba 
Copand,Alba 
Gabud,Alba 
Stana de Mures,Alba 
Valea Ciuciului,Alba 
Ocolis,Alba 
Lunca Larga,Alba 
Runc,Alba 
Vidolm,Alba 
Ohaba,Alba 
Colibi,Alba 
Maghierat,Alba 
Secasel,Alba 
Pianu de Sus,Alba 
Pianu de Jos,Alba 
Plaiuri,Alba 
Purcareti,Alba 
Strungari,Alba 
Poiana Vadului,Alba 
Costesti,Alba 
Duduieni,Alba 
Fagetu de Jos,Alba 
Fagetu de Sus,Alba 
Hanasesti,Alba 
Lupaiesti,Alba 
Morcanesti,Alba 
Pastesti,Alba 
Petelei,Alba 
Stanesti,Alba 
Ponor,Alba 
Dupa Deal,Alba 
Geogel,Alba 
Macaresti,Alba 
Valea Bucurului,Alba 
Vale In Jos,Alba 
Posaga de Jos,Alba 
Cortesti,Alba 
Incesti,Alba 
Lunca,Alba 
Orasti,Alba 
Posaga de Sus,Alba 
Sagagea,Alba 
Radesti,Alba 
Leorint,Alba 
Mescreac,Alba 
Soimus,Alba 
Rametea,Alba 
Coltesti,Alba 
Ramet,Alba 
Botani,Alba 
Bradesti,Alba 
Cheia,Alba 
Cotorasti,Alba 
Floresti,Alba 
Olteni,Alba 
Valea Fagetului,Alba 
Valea Inzelului,Alba 
Valea Manastirii,Alba 
Valea Poienii,Alba 
Valea Uzei,Alba 
Vladesti,Alba 
Rosia Montana,Alba 
Balmosesti,Alba 
Blidesti,Alba 
Bunta,Alba 
Carpinis,Alba 
Coasta Hentii,Alba 
